no,id.orig_p,id.resp_p,proto,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,bwd_last_window_size,Attack_type
1,37810,443,tcp,https,0.026016,1,1,1,0,38.437889,38.437889,76.875778,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,105,105,105,105,0,0,0,0,0,0,0,105,105,52.5,74.246212,0,0,0,0,0,0,0,0,0,0,26015.996933,26015.996933,26015.996933,26015.996933,0,4035.978336,1,1,105,0,0,0,0,0,0,0,26015.996933,26015.996933,26015.996933,26015.996933,0,0,0,0,0,0,1595,0,1595,0,TV
2,53028,443,tcp,https,0.027461,1,1,1,0,36.415211,36.415211,72.830422,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,318,318,318,318,0,0,0,0,0,0,0,318,318,159,224.859956,0,0,0,0,0,0,0,0,0,0,27461.051941,27461.051941,27461.051941,27461.051941,0,11580.03709,1,1,318,0,0,0,0,0,0,0,27461.051941,27461.051941,27461.051941,27461.051941,0,0,0,0,0,0,5668,0,5668,0,TV
3,53044,443,tcp,https,0.026749,1,1,1,0,37.384388,37.384388,74.768776,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,318,318,318,318,0,0,0,0,0,0,0,318,318,159,224.859956,0,0,0,0,0,0,0,0,0,0,26749.134064,26749.134064,26749.134064,26749.134064,0,11888.235307,1,1,318,0,0,0,0,0,0,0,26749.134064,26749.134064,26749.134064,26749.134064,0,0,0,0,0,0,2534,0,2534,0,TV
4,53046,443,tcp,https,0.027411,1,1,1,0,36.481726,36.481726,72.963451,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,318,318,318,318,0,0,0,0,0,0,0,318,318,159,224.859956,0,0,0,0,0,0,0,0,0,0,27410.984039,27410.984039,27410.984039,27410.984039,0,11601.188762,1,1,318,0,0,0,0,0,0,0,27410.984039,27410.984039,27410.984039,27410.984039,0,0,0,0,0,0,1584,0,1584,0,TV
5,53048,443,tcp,https,0.026777,1,1,1,0,37.345443,37.345443,74.690885,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,350,350,350,350,0,0,0,0,0,0,0,350,350,175,247.487373,0,0,0,0,0,0,0,0,0,0,26777.029037,26777.029037,26777.029037,26777.029037,0,13070.904898,1,1,350,0,0,0,0,0,0,0,26777.029037,26777.029037,26777.029037,26777.029037,0,0,0,0,0,0,6980,0,6980,0,TV
6,53070,443,tcp,https,0.027454,1,1,1,0,36.424382,36.424382,72.848764,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,326,326,326,326,0,0,0,0,0,0,0,326,326,163,230.516811,0,0,0,0,0,0,0,0,0,0,27454.137802,27454.137802,27454.137802,27454.137802,0,11874.348499,1,1,326,0,0,0,0,0,0,0,27454.137802,27454.137802,27454.137802,27454.137802,0,0,0,0,0,0,3348,0,3348,0,TV
7,53068,443,tcp,https,0.026713,1,1,1,0,37.435105,37.435105,74.870209,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,350,350,350,350,0,0,0,0,0,0,0,350,350,175,247.487373,0,0,0,0,0,0,0,0,0,0,26712.89444,26712.89444,26712.89444,26712.89444,0,13102.286643,1,1,350,0,0,0,0,0,0,0,26712.89444,26712.89444,26712.89444,26712.89444,0,0,0,0,0,0,2986,0,2986,0,TV
8,53072,443,tcp,https,0.027409,1,1,1,0,36.484264,36.484264,72.968529,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,326,326,326,326,0,0,0,0,0,0,0,326,326,163,230.516811,0,0,0,0,0,0,0,0,0,0,27409.076691,27409.076691,27409.076691,27409.076691,0,11893.870183,1,1,326,0,0,0,0,0,0,0,27409.076691,27409.076691,27409.076691,27409.076691,0,0,0,0,0,0,2817,0,2817,0,TV
9,53078,443,tcp,https,0.026003,1,1,1,0,38.457273,38.457273,76.914546,1,32,32,32,20,20,20,0,0,1,1,0,1,0,0,0,0,350,350,350,350,0,0,0,0,0,0,0,350,350,175,247.487373,0,0,0,0,0,0,0,0,0,0,26002.883911,26002.883911,26002.883911,26002.883911,0,13460.045478,1,1,350,0,0,0,0,0,0,0,26002.883911,26002.883911,26002.883911,26002.883911,0,0,0,0,0,0,2036,0,2036,0,TV
10,50956,443,tcp,https,8.383902,10,7,4,2,1.192762,0.834933,2.027695,0.7,328,32,40,232,32,40,2,2,0,4,2,16,0,0,0,0,0,1316,1915,191.5,426.352032,0,460,622,88.857143,174.439511,0,1316,2537,149.235294,341.132403,21.934509,8161861.896515,8404926.06163,933880.673514,2710649.516386,9822.845459,8231792.926788,8378423.929214,1396403.988202,3348716.671348,21.934509,8161861.896515,8404926.06163,525307.878852,2036491.327688,302.603725,5,3.5,957.5,311,0,0,0,0,0,0,27467.96608,215596.199036,243064.165115,121532.082558,133026.749256,8161861.896515,8161861.896515,8161861.896515,8161861.896515,0,65535,65535,1386,326,TV
